,std. real power(ss),ave. real power(ss),max. real power(tr),std. reactive power(ss),ave. reactive power(ss),max. reactive power(tr),std. phase B current(ss),ave. phase B current(ss),max. phase B current(tr)
23,-0.5955322244055864,-0.08979776348806406,-0.14392087007035131,-0.9824638495732659,1.0029620640495793,0.8233586563096994,-0.2706232034805249,0.04567949438734641,-0.03298668678205662
25,0.2631342535885741,0.33996866716559465,0.30630994738939465,1.3560041677752652,-0.7253675301490277,-0.5161355268185494,-0.21130351994768914,0.2554899847899488,0.21234467731174503
26,0.20875863257816596,0.1649210483840261,0.14126266635470333,0.49245970304184805,1.1252150924488051,0.9538568138907465,-0.018426088141519324,0.3568490876070417,0.3083250545815298
27,-0.804797024660428,0.23017527091586107,0.2097050709256581,-0.9997177910786729,-0.5908086617271863,-0.6001239270058457,-0.32273158387078804,0.20453871275583402,0.1889437490222124
28,-0.8438142659562486,-0.18998647336275976,-0.28034971770501255,-1.224719342311995,0.7062607307945795,0.5611172690525315,0.1904373010791075,0.034468963165274764,-0.028043463190087093
29,1.0421633364701965,0.2424888641971788,0.11542949125265489,1.847612875727042,0.9378200205158419,1.0161783977115464,0.1250881351236997,0.3807412112290954,0.3038198104230619
30,-0.8783283570599191,0.27009170910049,0.20649650302426178,-1.3540857755039029,0.3269855208408181,0.1448068197671337,-0.37824774565536556,0.38219782259561863,0.31101549967303954
31,0.643078999435775,0.3189998398552814,0.10189857773251598,0.9892312921450721,0.5418728486080417,0.8613520466989777,0.051214837020521084,0.40870633747713764,0.32002504946261806
32,-0.8951630127317816,0.37297639653899156,0.29113059481385534,-1.3384607625973046,0.36149895400409066,0.5318074847338359,-0.3103578140185101,0.4224390169703806,0.30369467344206175
34,0.10573016877938025,-2.1254493726752335,-2.15112961051368,0.028999211235708994,-1.9457628004038439,-2.2228694382793335,0.35664114839495564,-2.2307118767485927,-2.26474186159183
35,-0.5906160826857857,-2.0060715853229767,-1.6874397446831442,-0.5605453774877736,-2.016076838320725,-2.222540029592973,-0.032266124747937615,-2.1688497704441483,-1.84303023562037
37,0.34521567139415943,2.646460138451899,2.785947839186821,-0.4563875542223549,0.5888574360750427,1.5220846117599582,1.3747130341601077,2.5223664096623044,2.8324937569016138
38,0.08924925804300078,2.5910159791652068,2.5888942234629257,-0.6263475165266986,0.756873103339848,0.9347386235685019,0.4828800692954016,2.4866944659912256,2.558788208050869
39,-0.29510914840194247,-0.41841245756969503,-0.49653482030501306,-0.17590589455549838,-0.3123126158712786,-0.582460041203165,-0.14418028101188882,-0.45526598268256074,-0.5257448337165121
40,-0.5208558187992217,-0.43914736726593817,-0.3868679617268146,-0.6574976866802241,-0.36181245201447426,-0.4500642068034164,-0.0709549708421754,-0.465191178610624,-0.45228911302680513
42,0.057653456697002566,-0.32575355834477276,-0.4795409127304128,0.10725331561882896,-0.9353767207876487,-0.7783558191197036,0.057472610651521684,-0.4668105076789413,-0.5557461120689133
43,0.07191015631582844,2.3942546350346627,2.3305814249616827,-1.1167320650756665,1.5678729170258618,1.6231314092545315,1.010356479528893,2.358151483389502,2.366108541555452
44,0.05463420753422916,0.30808571313817723,0.225682778921588,-0.19455830188888723,1.2671135845694868,1.0358196138458988,0.3235473997175117,0.41841801130508804,0.34821184159051266
46,-0.34154229548992293,0.22143441269192965,0.09065584289316306,-0.7146537987464585,1.4002205097984253,1.5085895839222485,-0.05968553480355666,0.3839763344272868,0.31089004984958657
47,-0.6611882021675658,-1.1263692710341884,-1.0387795648133296,-0.9327728602997337,-1.1622182843128972,-1.1956769258046314,-0.2123545821673685,-1.2153646940016827,-1.1242743881566797
48,0.34515709403634276,-0.6852107330928386,-0.583180788273052,0.8838360565532183,-0.36725281638394086,0.031209686338534135,-0.20036522263732645,-0.7469993006933565,-0.6013585416435716
49,0.6479810922272585,-0.3796082464018382,-0.41673984124753427,2.0826145812948456,-0.17890351610748503,-0.2752886689660799,-0.15308461092707745,-0.4572959350334777,-0.48166470647420445
50,-0.2999825379773339,1.9584033934524065,2.2434206411238384,1.0047398505205356,0.750604759331369,1.8940189712392057,0.8510495783066596,1.7551097149378516,2.2524528785618076
51,0.5127855854585376,2.156214945812959,2.1423495706700515,0.8374740962160928,1.481204151870429,1.3926177011194876,0.554088975116534,2.195576458566808,2.1192761593745497
52,-0.48043894256196934,0.15675354609048342,0.07749388980258397,-1.1869528808554755,1.7361754926204644,1.6730226856326875,0.1162421799612409,0.3558174090394637,0.24819673521082178
54,0.18438098149258228,-1.1189273393448167,-0.9895933943524864,0.8207204071386301,-1.138929836750634,-1.031879999398752,0.06160550150630062,-1.2652261558254203,-1.2000135459071921
56,-0.7390886439438971,0.060052781890190386,0.013006588848803525,-0.996803512124821,0.807191496505286,1.12348065911585,-0.1595182093568323,0.08275524145208316,-0.0006074929481944115
59,-0.458676444400364,0.3232322052906077,0.26230981401457737,-0.45045717843783795,0.4818643445011765,0.4262221735027097,-0.3142672684847302,0.3580198201089532,0.26064755197791306
60,0.4520088309799629,0.2504036749684914,0.13500293497080826,0.06276402838956827,0.9551277005354776,0.863786662658129,-0.48809501726893717,0.34095586602537714,0.24594426955281368
61,1.1326572634512158,-1.5771104672451255,-1.5024436078966514,0.4260451193159565,-2.0164306425637473,-2.013236795024614,0.1696071502352489,-1.7551111188036856,-1.7179558231104373
62,0.8508942252977292,-1.2422802974024136,-1.150545799988901,0.8426350978683859,-1.6990859813033385,-1.350508006163202,-0.5127452879367643,-1.4219201590805253,-1.3103533917467765
63,-0.595144800098491,-1.2539951473708675,-1.2204757259301884,-1.1563399021833973,-2.014051057660552,-1.915673489423204,-0.3710578309772014,-1.4328136559900542,-1.3814311969550224
65,-0.7752017532369562,-0.07572878519958814,-0.16867517959856315,-0.786582069465663,0.7405796570482759,0.8051202158660029,-0.4413580560660241,0.05054484507765652,-0.03598997432606669
66,-0.02011342930258999,0.6319872544751027,0.502674670269824,-0.00576730738007865,0.12522777769835924,0.25038921862108815,0.6448741951666173,0.6066893879490108,0.5416739270596356
67,-0.4047042492614872,0.5185375738557587,0.48603336162814503,-0.7359548537764653,0.24875843876221393,-0.16487476994827036,-0.4480360280419164,0.4897538532825227,0.3850962795828439
68,-0.7516431650755451,0.571024985543072,0.5609252807733116,-1.2141434276793241,0.1626321511984902,0.042280849364243894,-0.382134927931218,0.553161003881494,0.45949052763005316
69,-0.5459606161712938,0.5487502318216504,0.5162586086088837,-0.8572132878616291,0.17606163258176247,0.0780196938665859,-0.3348970301441315,0.5655967135839103,0.5131736667943338
70,-0.7013260989293805,0.6280391656430147,0.5092449902245385,-0.596982456736312,-0.2227955889814449,-0.435946979341593,-0.42784460072379327,0.45287851831431564,0.33500989009496773
72,-0.511224201121851,0.23993968708835076,0.16845625429212588,-1.2389044945574739,0.805867208123742,0.6817113936608269,-0.4848608700166745,0.3568330732881872,0.247445600482367
73,-0.9100768552987366,0.15064566643164176,0.09451639749965712,-1.4132575539272207,0.4981707637127715,0.3022971838574124,-0.5014521836135385,0.27107538892580235,0.2120631191044947
74,-0.7616018228617546,-0.21843260495268088,-0.22308947869116202,-0.8750688069047964,0.6819673461412836,0.7521946735095215,-0.1279065444282911,-0.02949106696859109,-0.06254998570095616
75,0.5752242287410668,-0.39767195809144584,-0.451558827368707,1.3787552923953315,-0.23239892233701168,-0.16127320085462143,-0.19829512966433432,-0.5469661549440592,-0.49727554485400877
77,-0.2670290354105663,0.8100926079995527,0.7882263629026062,-0.5408972271065735,1.3386351944519765,1.125617158440631,-0.18323313130971638,1.0279841580313354,0.9804354666924046
79,0.30152992616985075,-1.2554726610948705,-1.1842910857114406,0.6321700031329357,-1.3379630265778162,-1.3419106431634107,-0.5191157907867815,-1.3366550672606075,-1.2626758891431586
80,0.07320964176844034,-1.2369259278070839,-1.1368818627114403,0.5631938361987845,-1.4633215503256363,-1.0180837321524623,0.5416606419252475,-1.4125009076339696,-1.2185967004282081
81,0.39608516069459704,-0.4411961437207998,-0.4829885891549714,1.488345837398579,-0.4786716652064283,-0.6121811563792996,-0.24986211093172334,-0.5221063615898293,-0.4776293516793938
